iter	Passed	Remaining
260	378	1071
261	379	1069
262	381	1067
263	382	1066
264	383	1064
265	385	1062
266	386	1061
267	387	1059
268	389	1057
269	390	1056
270	392	1054
271	393	1053
272	394	1051
273	396	1050
274	397	1048
275	399	1046
276	400	1045
277	401	1043
278	403	1041
279	404	1040
280	405	1038
281	407	1037
282	408	1035
283	410	1034
284	411	1032
285	412	1031
286	414	1029
287	415	1027
288	417	1026
289	418	1024
290	419	1023
291	421	1021
292	422	1019
293	424	1018
294	425	1017
295	426	1015
296	428	1013
297	429	1012
298	430	1010
299	432	1008
300	433	1007
301	434	1005
302	436	1003
303	437	1002
304	439	1002
305	441	1000
306	443	1000
307	444	998
308	446	997
309	447	995
310	448	994
311	450	993
312	452	992
313	453	990
314	455	989
315	457	989
316	458	988
317	460	987
318	461	985
319	463	983
320	464	982
321	466	981
322	467	980
323	468	978
324	470	976
325	471	975
326	473	973
327	474	972
328	475	970
329	477	968
330	478	967
331	480	966
332	481	964
333	483	963
334	484	961
335	485	960
336	487	958
337	488	957
338	491	958
339	494	959
340	496	959
341	498	959
342	500	958
343	502	957
344	503	956
345	505	955
346	506	953
347	508	952
348	510	951
349	511	949
350	513	948
351	514	947
352	516	946
353	518	945
354	519	944
355	521	942
356	522	941
357	524	940
358	526	940
359	528	939
360	529	938
361	531	936
362	532	935
363	534	933
364	535	932
365	537	930
366	538	929
367	540	928
368	541	926
369	543	925
370	544	923
371	546	922
372	547	920
373	549	918
374	550	917
375	551	915
376	553	914
377	554	912
378	556	911
379	557	910
380	559	908
381	560	906
382	561	905
383	563	904
384	564	902
385	566	900
386	567	899
387	569	897
388	570	895
389	571	894
390	573	892
391	574	891
392	575	889
393	577	888
394	578	886
395	580	884
396	581	883
397	582	881
398	584	880
399	585	878
400	587	876
401	588	875
402	590	874
403	592	873
404	593	872
405	595	870
406	596	869
407	598	867
408	599	866
409	601	864
410	602	863
411	603	861
412	605	860
413	606	858
414	608	857
415	609	855
416	610	854
417	612	852
418	613	850
419	615	849
420	616	848
421	618	846
422	619	845
423	620	843
424	622	841
425	623	840
426	625	838
427	626	837
428	627	835
429	629	834
430	630	832
431	632	830
432	633	829
433	634	827
434	636	826
435	637	824
436	638	823
437	640	821
438	641	820
439	643	818
440	644	817
441	645	815
442	647	814
443	648	812
444	650	810
445	651	809
446	653	807
447	654	806
448	655	804
449	657	803
450	658	801
451	660	800
452	661	798
453	662	797
454	664	795
455	665	794
456	667	792
457	668	791
458	670	789
459	671	788
460	672	786
461	674	785
462	675	783
463	676	782
464	678	780
465	679	778
466	681	777
467	682	776
468	684	774
469	685	772
470	686	771
471	688	769
472	689	768
473	690	766
474	692	765
475	693	763
476	695	762
477	696	760
478	697	759
479	699	757
480	700	756
481	702	754
482	703	752
483	704	751
484	706	749
485	707	748
486	708	746
487	710	745
488	711	743
489	713	743
490	715	741
491	717	740
492	720	740
493	722	739
494	724	739
495	726	737
496	727	736
497	729	735
498	730	733
499	732	732
500	734	731
501	735	729
502	736	728
503	738	726
504	739	725
505	741	723
506	742	722
507	744	721
508	745	719
509	747	718
510	749	716
511	750	715
512	752	714
513	753	712
514	755	711
515	756	709
516	758	708
517	759	707
518	761	705
519	762	704
520	764	702
521	765	701
522	767	699
523	769	698
524	770	697
525	772	695
526	773	694
527	775	693
528	776	691
529	778	690
530	779	688
531	780	687
532	782	685
533	783	683
534	785	682
535	786	680
536	787	679
537	789	677
538	791	676
539	792	675
540	794	673
541	795	672
542	796	670
543	798	669
544	799	667
545	801	666
546	802	664
547	803	663
548	805	661
549	806	659
550	807	658
551	809	656
552	810	655
553	812	653
554	813	652
555	814	650
556	816	649
557	817	647
558	819	646
559	820	644
560	821	643
561	823	641
562	824	639
563	825	638
564	827	636
565	828	635
566	830	633
567	831	632
568	832	630
569	834	629
570	835	627
571	836	626
572	838	624
573	839	623
574	841	621
575	842	620
576	843	618
577	845	617
578	846	615
579	848	614
580	849	612
581	851	611
582	852	609
583	854	608
584	856	607
585	857	605
586	858	604
587	860	602
588	861	601
589	862	599
590	864	598
591	865	596
592	866	595
593	868	593
594	870	592
595	871	590
596	872	589
597	874	587
598	875	586
599	876	584
600	878	583
601	879	581
602	881	580
603	882	578
604	883	577
605	885	575
606	886	574
607	888	572
608	889	571
609	890	569
610	892	568
611	893	566
612	894	564
613	896	563
614	897	561
615	899	560
616	900	559
617	902	557
618	905	557
619	906	555
620	907	554
621	909	552
622	910	551
623	912	549
624	914	548
625	915	547
626	917	545
627	918	544
628	920	542
629	921	541
630	923	539
631	924	538
632	926	536
633	927	535
634	929	534
635	930	532
636	932	531
637	933	529
638	935	528
639	936	526
640	937	525
641	939	523
642	940	522
643	941	520
644	943	519
645	944	517
646	946	516
647	947	514
648	949	513
649	950	511
650	951	510
651	953	508
652	954	507
653	956	505
654	957	504
655	958	502
656	960	501
657	961	499
658	963	498
659	964	496
660	965	495
661	967	493
662	968	492
663	969	490
664	971	489
665	972	487
666	974	486
667	975	484
668	977	483
669	978	481
670	979	480
671	981	478
672	982	477
673	983	475
674	985	474
675	986	472
676	988	471
677	989	469
678	990	468
679	992	466
680	993	465
681	994	463
682	996	462
683	997	460
684	999	459
685	1000	457
686	1001	456
687	1003	454
688	1004	453
689	1006	452
690	1007	450
691	1009	449
692	1010	447
693	1011	446
694	1013	444
695	1014	443
696	1016	441
697	1017	440
698	1018	438
699	1020	437
700	1021	435
701	1022	434
702	1024	432
703	1025	431
704	1027	429
705	1028	428
706	1029	426
707	1030	425
708	1032	423
709	1033	422
710	1034	420
711	1036	419
712	1037	417
713	1038	416
714	1040	414
715	1041	413
716	1043	411
717	1044	410
718	1045	408
719	1047	407
720	1048	405
721	1050	404
722	1051	402
723	1053	401
724	1054	400
725	1055	398
726	1057	397
727	1059	395
728	1060	394
729	1062	392
730	1063	391
731	1065	390
732	1067	388
733	1068	387
734	1070	385
735	1071	384
736	1073	382
737	1074	381
738	1075	379
739	1077	378
740	1079	377
741	1081	375
742	1082	374
743	1084	373
744	1085	371
745	1087	370
746	1089	369
747	1091	367
748	1094	366
749	1095	365
750	1097	363
751	1099	362
752	1101	361
753	1103	359
754	1104	358
755	1106	357
756	1108	355
757	1109	354
758	1111	352
759	1113	351
760	1114	350
761	1116	348
762	1117	347
763	1119	345
764	1121	344
765	1122	343
766	1124	341
767	1126	340
768	1128	338
769	1130	337
770	1131	336
771	1133	334
772	1134	333
773	1135	331
774	1137	330
775	1139	328
776	1140	327
777	1142	326
778	1145	324
779	1146	323
780	1148	322
781	1149	320
782	1151	319
783	1153	317
784	1154	316
785	1156	314
786	1158	313
787	1159	311
788	1160	310
789	1162	308
790	1163	307
791	1165	306
792	1167	304
793	1168	303
794	1170	301
795	1171	300
796	1173	298
797	1174	297
798	1176	295
799	1177	294
800	1179	292
801	1180	291
802	1182	290
803	1184	288
804	1185	287
805	1187	285
806	1188	284
807	1190	282
808	1191	281
809	1192	279
810	1194	278
811	1195	276
812	1197	275
813	1199	274
814	1200	272
815	1202	271
816	1203	269
817	1204	268
818	1206	266
819	1208	265
820	1209	263
821	1210	262
822	1212	260
823	1214	259
824	1215	257
825	1217	256
826	1218	254
827	1220	253
828	1221	252
829	1223	250
830	1224	249
831	1226	247
832	1227	246
833	1229	244
834	1231	243
835	1232	241
836	1234	240
837	1235	238
838	1237	237
839	1238	235
840	1240	234
841	1242	233
842	1243	231
843	1245	230
844	1246	228
845	1248	227
846	1249	225
847	1251	224
848	1252	222
849	1253	221
850	1256	219
851	1257	218
852	1258	216
853	1260	215
854	1261	213
855	1263	212
856	1264	211
857	1266	209
858	1267	208
859	1269	206
860	1271	205
861	1272	203
862	1274	202
863	1275	200
864	1276	199
865	1278	197
866	1279	196
867	1281	194
868	1282	193
869	1284	191
870	1286	190
871	1287	189
872	1289	187
873	1290	186
874	1292	184
875	1293	183
876	1295	181
877	1296	180
878	1297	178
879	1299	177
880	1301	175
881	1302	174
882	1304	172
883	1306	171
884	1307	169
885	1309	168
886	1310	166
887	1311	165
888	1313	164
889	1315	162
890	1317	161
891	1318	159
892	1321	158
893	1322	156
894	1323	155
895	1325	153
896	1326	152
897	1328	150
898	1330	149
899	1331	147
900	1333	146
901	1334	145
902	1336	143
903	1337	142
904	1338	140
905	1340	139
906	1341	137
907	1343	136
908	1344	134
909	1346	133
910	1347	131
911	1349	130
912	1351	128
913	1352	127
914	1354	125
915	1355	124
916	1357	122
917	1359	121
918	1360	119
919	1362	118
920	1363	116
921	1364	115
922	1366	113
923	1367	112
924	1368	110
925	1370	109
926	1371	108
927	1373	106
928	1374	105
929	1376	103
930	1377	102
931	1379	100
932	1380	99
933	1382	97
934	1383	96
935	1384	94
936	1385	93
937	1387	91
938	1389	90
939	1391	88
940	1392	87
941	1394	85
942	1395	84
943	1396	82
944	1398	81
945	1399	79
946	1400	78
947	1402	76
948	1404	75
949	1405	73
950	1406	72
951	1408	70
952	1409	69
953	1410	68
954	1412	66
955	1413	65
956	1415	63
957	1416	62
958	1417	60
959	1419	59
960	1421	57
961	1423	56
962	1425	54
963	1426	53
964	1428	51
965	1429	50
966	1431	48
967	1432	47
968	1434	45
969	1436	44
970	1437	42
971	1439	41
972	1440	39
973	1442	38
974	1443	37
975	1445	35
976	1446	34
977	1448	32
978	1451	31
979	1453	29
980	1455	28
981	1456	26
982	1458	25
983	1460	23
984	1462	22
985	1464	20
986	1465	19
987	1467	17
988	1469	16
989	1471	14
990	1472	13
991	1474	11
992	1475	10
993	1477	8
994	1479	7
995	1480	5
996	1482	4
997	1483	2
998	1486	1
999	1487	0
